ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8016932	3.62e-19	1.12e-23	-15.3090267	43.233517	-5.56350116	MPO	myeloperoxidase
7970737	4.84e-19	2.99e-23	-15.02516	42.286922	-5.25006453	FLT3	fms related tyrosine kinase 3
7989647	6.31e-19	5.86e-23	-14.8330427	41.640053	-4.55913524	KIAA0101	KIAA0101
7982663	1.66e-18	2.06e-22	-14.4766619	40.426742	-2.75655355	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
8083422	1.94e-18	3.00e-22	-14.3710427	40.063818	-2.99681552	SUCNR1	succinate receptor 1
7926259	3.71e-18	6.89e-22	-14.1386537	39.259907	-2.31884765	MCM10	minichromosome maintenance 10 replication initiation factor
8061579	4.70e-18	1.02e-21	-14.0306121	38.883633	-3.15641492	TPX2	TPX2, microtubule nucleation factor
7966878	1.15e-17	2.84e-21	-13.7473206	37.889427	-2.3707507	CIT	citron rho-interacting serine/threonine kinase
8071212	1.66e-17	4.62e-21	-13.6143487	37.418977	-2.28750067	CDC45	cell division cycle 45
7921033	1.78e-17	5.60e-21	-13.5617981	37.232388	-1.66969735	IQGAP3	IQ motif containing GTPase activating protein 3
8089875	1.78e-17	6.04e-21	-13.5410514	37.158621	-2.09197758	POLQ	DNA polymerase theta
8064539	6.59e-17	2.45e-20	-13.1625363	35.802471	-3.77695352	CPXM1	carboxypeptidase X, M14 family member 1
8126018	7.23e-17	2.91e-20	13.1162893	35.635444	1.88043269	STK38	serine/threonine kinase 38
8132318	7.50e-17	3.45e-20	-13.0700352	35.468102	-2.64104618	ANLN	anillin actin binding protein
7991406	7.50e-17	3.48e-20	-13.0678515	35.460195	-3.08009679	PRC1	protein regulator of cytokinesis 1
8155214	1.35e-16	6.70e-20	-12.893201	34.825679	-2.29731792	MELK	maternal embryonic leucine zipper kinase
8014974	1.73e-16	9.11e-20	-12.8113102	34.526755	-3.29810353	TOP2A	topoisomerase (DNA) II alpha
8094278	2.38e-16	1.32e-19	-12.7122867	34.164094	-3.22796342	NCAPG	non-SMC condensin I complex subunit G
8076185	4.53e-16	2.66e-19	12.5278338	33.485081	2.24007965	CBX7	chromobox 7
7984540	4.59e-16	2.84e-19	-12.510495	33.421022	-2.82172754	KIF23	kinesin family member 23
8019842	5.46e-16	3.55e-19	-12.4521801	33.205282	-3.67035228	TYMS	thymidylate synthetase
8095110	7.79e-16	5.30e-19	-12.3467866	32.81424	-4.86400851	KIT	KIT proto-oncogene receptor tyrosine kinase
7973108	7.89e-16	5.61e-19	-12.3320935	32.759608	-4.5531822	ECRP///ECRP	ribonuclease A family member 2 pseudogene///ribonuclease A family member 2 pseudogene
7909568	7.99e-16	6.16e-19	-12.3076028	32.668485	-3.67921774	DTL	denticleless E3 ubiquitin protein ligase homolog
8078187	7.99e-16	6.18e-19	12.3068711	32.665762	1.8997181	PLCL2	phospholipase C like 2
7997839	8.59e-16	6.91e-19	-12.2776822	32.557053	-1.71491253	CDT1	chromatin licensing and DNA replication factor 1
7923189	1.20e-15	9.99e-19	-12.1815195	32.198129	-2.19593367	KIF14	kinesin family member 14
8058837	1.65e-15	1.43e-18	12.0881563	31.848512	2.16251307	PECR	peroxisomal trans-2-enoyl-CoA reductase
7971866	2.07e-15	1.86e-18	-12.0203444	31.593874	-1.91092968	DIAPH3	diaphanous related formin 3
7990555	2.33e-15	2.16e-18	-11.9809616	31.44572	-3.40688752	NRG4	neuregulin 4
8086880	2.96e-15	2.84e-18	-11.9110092	31.182079	-1.79713843	CDC25A	cell division cycle 25A
8168794	3.39e-15	3.40e-18	-11.8640714	31.004829	-2.24023758	CENPI	centromere protein I
7926451	3.39e-15	3.46e-18	-11.8596144	30.987984	-3.04859703	MRC1	mannose receptor, C type 1
7910997	5.54e-15	5.83e-18	-11.725725	30.480785	-2.47469098	EXO1	exonuclease 1
7916167	5.96e-15	6.46e-18	-11.6995361	30.381314	-1.99692359	ORC1	origin recognition complex subunit 1
7985829	7.91e-15	8.81e-18	-11.6198018	30.077945	-2.5430687	FANCI	Fanconi anemia complementation group I
8112260	8.08e-15	9.25e-18	-11.6074005	30.030691	-2.09247364	DEPDC1B	DEP domain containing 1B
8056572	9.15e-15	1.08e-17	-11.5688205	29.883564	-2.19639069	SPC25	SPC25, NDC80 kinetochore complex component
7893831	1.09e-14	1.31e-17	11.5176864	29.688279	1.37559174		
7923086	1.12e-14	1.39e-17	-11.5031416	29.632674	-2.50196108	ASPM	abnormal spindle microtubule assembly
7987139	1.58e-14	2.00e-17	-11.4106502	29.278473	-2.66116588	GOLGA8R///GOLGA8O///GOLGA8N	golgin A8 family member R///golgin A8 family member O///golgin A8 family member N
8066619	1.79e-14	2.32e-17	-11.3728484	29.133413	-2.09153848	PLTP	phospholipid transfer protein
7982358	2.02e-14	2.69e-17	-11.3352531	28.988975	-3.15486512	ARHGAP11A	Rho GTPase activating protein 11A
8126839	2.10e-14	2.93e-17	-11.313445	28.905113	-2.26066604	TNFRSF21	TNF receptor superfamily member 21
8146357	2.10e-14	2.98e-17	-11.3093836	28.889489	-2.23452321	MCM4	minichromosome maintenance complex component 4
7960340	2.10e-14	2.99e-17	-11.3086225	28.88656	-1.94159098	FOXM1	forkhead box M1
8126153	2.32e-14	3.37e-17	-11.2785511	28.770813	-2.53546042	KCNK5	potassium two pore domain channel subfamily K member 5
8064844	2.38e-14	3.54e-17	-11.2663067	28.723652	-2.09183679	PCNA	proliferating cell nuclear antigen
8120838	2.90e-14	4.40e-17	-11.2110477	28.510596	-2.23504715	TTK	TTK protein kinase
7914851	3.02e-14	4.67e-17	-11.1960614	28.452754	-1.90987653	CLSPN	claspin
7914878	3.47e-14	5.47e-17	-11.1558543	28.297436	-2.61156346	CLSPN///CLSPN	claspin///claspin
8092552	4.20e-14	6.76e-17	-11.1025799	28.091352	-3.27423061	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
7901192	4.25e-14	6.98e-17	-11.0946203	28.060533	-1.36294765	RAD54L	RAD54-like (S. cerevisiae)
7929258	4.29e-14	7.23e-17	-11.0855979	28.02559	-2.59310934	KIF11	kinesin family member 11
8018849	4.29e-14	7.36e-17	-11.0811346	28.008301	-1.78384948	TK1	thymidine kinase 1
7909708	4.29e-14	7.43e-17	-11.0786497	27.998674	-2.82096547	CENPF	centromere protein F
7982290	4.43e-14	7.82e-17	-11.0657906	27.948846	-2.38054531		
7906930	4.78e-14	8.70e-17	-11.0388924	27.844556	-2.4388544	NUF2	NUF2, NDC80 kinetochore complex component
8097957	4.78e-14	8.72e-17	-11.0384437	27.842816	-4.32681911	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
7987027	4.82e-14	8.95e-17	-11.0318617	27.817283	-2.2174141	GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP	golgin A8 family member R///golgin A8 family member O///golgin A8 family member M///golgin A8 family member K///golgin A8 family member T///golgin A8 family member J///golgin A8 family member S///golgin A8 family member N///golgin A8 family member E, pseudogene
7901010	5.50e-14	1.04e-16	-10.994745	27.673208	-1.97681992	KIF2C	kinesin family member 2C
7978351	6.02e-14	1.15e-16	-10.9679183	27.568979	-3.3018534	CTSG	cathepsin G
8148059	6.67e-14	1.30e-16	-10.9378716	27.452142	-3.57865811	DEPTOR	DEP domain containing MTOR-interacting protein
7911155	7.36e-14	1.46e-16	-10.909478	27.341641	-2.83305395	SCCPDH	saccharopine dehydrogenase (putative)
8108301	7.62e-14	1.53e-16	-10.8968524	27.292476	-2.37317675	KIF20A	kinesin family member 20A
8117225	1.00e-13	2.05e-16	-10.823984	27.008374	-1.84648403	GMNN	geminin, DNA replication inhibitor
8024056	1.01e-13	2.09e-16	-10.8189014	26.988536	-2.46212724	ELANE	elastase, neutrophil expressed
7945014	1.02e-13	2.14e-16	-10.8131854	26.966222	-2.94682724	CHEK1	checkpoint kinase 1
8082350	1.13e-13	2.42e-16	-10.782557	26.846596	-1.98621731	MCM2	minichromosome maintenance complex component 2
7947110	1.26e-13	2.76e-16	-10.7500569	26.719548	-1.90107723	E2F8	E2F transcription factor 8
8128850	1.26e-13	2.77e-16	-10.7485011	26.713463	-2.55296815	SLC22A16	solute carrier family 22 member 16
