ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8160088	1.30e-15	4.04e-20	32.8492732	29.339392	3.6700639	MPDZ	multiple PDZ domain crumbs cell polarity complex component
8101284	1.38e-11	8.54e-16	20.5395196	23.572661	5.8747646	PRKG2	protein kinase, cGMP-dependent, type II
8173825	8.80e-11	8.17e-15	18.4209705	21.957999	2.2864859	RPS6KA6	ribosomal protein S6 kinase A6
7910915	4.01e-10	4.96e-14	16.8710811	20.597364	4.3785699	CHRM3	cholinergic receptor muscarinic 3
8160168	1.22e-09	1.88e-13	15.7983559	19.552859	3.4098246	FREM1	FRAS1 related extracellular matrix 1
7902127	2.15e-09	3.99e-13	15.2194488	18.950567	2.2666883	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1
8121814	1.34e-08	3.26e-12	13.6938096	17.219768	4.6734897	NKAIN2	Na+/K+ transporting ATPase interacting 2
8173917	1.34e-08	3.31e-12	13.6828582	17.206539	4.1207415	NAP1L3	nucleosome assembly protein 1 like 3
8149438	1.52e-08	4.23e-12	13.5136096	17.000559	1.8774953	SGCZ	sarcoglycan zeta
8054439	1.91e-08	5.92e-12	13.2842037	16.716692	2.0709987	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2
7927606	3.45e-08	1.18e-11	12.8253346	16.132301	1.9754709	PRKG1	protein kinase, cGMP-dependent, type I
7906954	4.73e-08	1.76e-11	12.5628804	15.787811	4.1955191	PBX1	PBX homeobox 1
8172708	1.03e-07	4.15e-11	12.0138259	15.042058	3.1734796	NUDT11	nudix hydrolase 11
8077366	2.28e-07	9.89e-11	11.4767935	14.278419	2.610891	LRRN1	leucine rich repeat neuronal 1
8174610	2.34e-07	1.08e-10	11.4213559	14.197595	2.0538454	LRCH2	leucine rich repeats and calponin homology domain containing 2
8060897	3.39e-07	1.68e-10	11.1586673	13.809415	3.4364816	PLCB4	phospholipase C beta 4
7943376	3.45e-07	1.81e-10	11.1131585	13.741283	2.7798517	CEP126	centrosomal protein 126
8008588	4.31e-07	2.49e-10	10.9270984	13.459984	4.1403637	HLF	HLF, PAR bZIP transcription factor
8021668	4.31e-07	2.53e-10	10.9165103	13.443842	1.7181162	CDH7	cadherin 7
7932118	4.41e-07	2.73e-10	10.8724915	13.37658	2.0159548	BEND7	BEN domain containing 7
8097288	8.43e-07	5.48e-10	10.4709702	12.751331	1.728221	FAT4	FAT atypical cadherin 4
8102938	1.17e-06	7.98e-10	10.2581643	12.411239	2.0804627	RNF150	ring finger protein 150
8169158	1.43e-06	1.02e-09	10.1217069	12.189924	2.1528675	CXorf57	chromosome X open reading frame 57
8106418	2.29e-06	1.70e-09	9.8393813	11.723875	4.4121126	CRHBP	corticotropin releasing hormone binding protein
8139933	2.40e-06	1.86e-09	9.7915246	11.643773	2.676261		
8173600	3.07e-06	2.47e-09	9.6368477	11.382666	2.6347568	NAP1L2	nucleosome assembly protein 1 like 2
8149315	3.84e-06	3.21e-09	9.49716	11.14394	2.3887515		
